Unnamed: 0,Promotion,Location,Venue,Show Date,Show Name,Attendance,Cagematch URL
56,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-11,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 6,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177654
57,All Japan Pro Wrestling,"Sendai, Miyagi, Japan",Zepp Sendai,2003-05-05,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 5,740,https://www.cagematch.net/?id=1&nr=177653
58,All Japan Pro Wrestling,"Sapporo, Hokkaido, Japan",Zepp Sapporo,2003-05-03,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 4,630,https://www.cagematch.net/?id=1&nr=177652
59,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-12,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 7,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177655
60,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-11,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 6,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177654
61,All Japan Pro Wrestling,"Sendai, Miyagi, Japan",Zepp Sendai,2003-05-05,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 5,740,https://www.cagematch.net/?id=1&nr=177653
62,All Japan Pro Wrestling,"Sapporo, Hokkaido, Japan",Zepp Sapporo,2003-05-03,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 4,630,https://www.cagematch.net/?id=1&nr=177652
63,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-12,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 7,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177655
64,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-11,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 6,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177654
65,All Japan Pro Wrestling,"Sendai, Miyagi, Japan",Zepp Sendai,2003-05-05,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 5,740,https://www.cagematch.net/?id=1&nr=177653
66,All Japan Pro Wrestling,"Sapporo, Hokkaido, Japan",Zepp Sapporo,2003-05-03,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 4,630,https://www.cagematch.net/?id=1&nr=177652
67,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-12,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 7,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177655
68,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-11,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 6,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177654
69,All Japan Pro Wrestling,"Sendai, Miyagi, Japan",Zepp Sendai,2003-05-05,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 5,740,https://www.cagematch.net/?id=1&nr=177653
70,All Japan Pro Wrestling,"Sapporo, Hokkaido, Japan",Zepp Sapporo,2003-05-03,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 4,630,https://www.cagematch.net/?id=1&nr=177652
71,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-12,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 7,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177655
72,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-11,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 6,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177654
73,All Japan Pro Wrestling,"Sendai, Miyagi, Japan",Zepp Sendai,2003-05-05,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 5,740,https://www.cagematch.net/?id=1&nr=177653
