Unnamed: 0,Promotion,Location,Venue,Show Date,Show Name,Attendance,Cagematch URL
77,New Japan Pro Wrestling,"Nagoya, Aichi, Japan",Aichi Prefectural Gymnasium,2023-01-22,NJPW The New Beginning In Nagoya 2023,"1,650",https://www.cagematch.net/?id=1&nr=357785
78,New Japan Pro Wrestling,"Yokohama, Kanagawa, Japan",Yokohama Arena,2023-01-21,NJPW Wrestle Kingdom 17 In Yokohama Arena,"5,533",https://www.cagematch.net/?id=1&nr=356456
79,New Japan Pro Wrestling,"Tokyo, Japan",Ota City General Gymnasium,2023-01-05,NJPW New Year Dash !! 2023,"2,713",https://www.cagematch.net/?id=1&nr=347087
80,New Japan Pro Wrestling,"Tokyo, Japan",Tokyo Dome,2023-01-04,NJPW Wrestle Kingdom 17 In Tokyo Dome,"26,085",https://www.cagematch.net/?id=1&nr=350022
81,New Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-02-28,NJPW Presents CMLL Fantastica Mania 2023 - Tag 6,"1,383",https://www.cagematch.net/?id=1&nr=359522
82,New Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-02-27,NJPW Presents CMLL Fantastica Mania 2023 - Tag 5,"1,384",https://www.cagematch.net/?id=1&nr=359521
83,New Japan Pro Wrestling,"Chiba, Japan",Makuhari Messe International Conference Hall 11,2023-02-26,NJPW Presents CMLL Fantastica Mania 2023 - Tag 4,"1,092",https://www.cagematch.net/?id=1&nr=359520
84,New Japan Pro Wrestling,"Osaka, Japan",Osaka Municipal Central Gymnasium Sub Arena,2023-02-24,NJPW Presents CMLL Fantastica Mania 2023 - Tag 3,962,https://www.cagematch.net/?id=1&nr=359519
85,New Japan Pro Wrestling,"Kyoto, Japan",KBS Hall,2023-02-23,NJPW Presents CMLL Fantastica Mania 2023 - Tag 2,765,https://www.cagematch.net/?id=1&nr=359518
86,New Japan Pro Wrestling,"Takamatsu, Kagawa, Japan",Takamatsu City Gymnasium #2,2023-02-22,NJPW Presents CMLL Fantastica Mania 2023 - Tag 1,768,https://www.cagematch.net/?id=1&nr=359517
87,New Japan Pro Wrestling,"Osaka, Japan",EDION Arena Osaka,2023-02-11,NJPW The New Beginning In Osaka 2023,"4,055",https://www.cagematch.net/?id=1&nr=357796
88,New Japan Pro Wrestling,"Saku, Nagano, Japan",Saku City Gymnasium,2023-02-09,NJPW Road To The New Beginning 2023 - Tag 9,653,https://www.cagematch.net/?id=1&nr=357795
89,New Japan Pro Wrestling,"Kanuma, Tochigi, Japan",New Sunpia Tochigi,2023-02-08,NJPW Road To The New Beginning 2023 - Tag 8,606,https://www.cagematch.net/?id=1&nr=357794
90,New Japan Pro Wrestling,"Sapporo, Hokkaido, Japan",Hokkaido Prefectural Sports Center,2023-02-05,NJPW The New Beginning In Sapporo 2023 - Tag 2,"3,316",https://www.cagematch.net/?id=1&nr=357793
91,New Japan Pro Wrestling,"Sapporo, Hokkaido, Japan",Hokkaido Prefectural Sports Center,2023-02-04,NJPW The New Beginning In Sapporo 2023 - Tag 1,"3,073",https://www.cagematch.net/?id=1&nr=357792
92,New Japan Pro Wrestling,"Hirosaki, Aomori, Japan",Aomori Martial Arts Hall,2023-02-01,NJPW Road To The New Beginning 2023 - Tag 7,"1,216",https://www.cagematch.net/?id=1&nr=357791
93,New Japan Pro Wrestling,"Nagaoka, Niigata, Japan",Aore Nagaoka,2023-03-21,NJPW New Japan Cup 2023 - Tag 12,"3,384",https://www.cagematch.net/?id=1&nr=361617
94,New Japan Pro Wrestling,"Takasaki, Gunma, Japan",G Messe Gunma,2023-03-19,NJPW New Japan Cup 2023 - Tag 11,"1,396",https://www.cagematch.net/?id=1&nr=361616
95,New Japan Pro Wrestling,"Hamamatsu, Shizuoka, Japan",Act City Hamamatsu,2023-03-18,NJPW New Japan Cup 2023 - Tag 10,"1,101",https://www.cagematch.net/?id=1&nr=361615
96,New Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-03-17,NJPW New Japan Cup 2023 - Tag 9,"1,351",https://www.cagematch.net/?id=1&nr=361614
97,New Japan Pro Wrestling,"Okayama, Japan",ZIP Arena Okayama,2023-03-15,NJPW New Japan Cup 2023 - Tag 8,"1,298",https://www.cagematch.net/?id=1&nr=361613
98,New Japan Pro Wrestling,"Matsuyama, Ehime, Japan",Item Ehime,2023-03-13,NJPW New Japan Cup 2023 - Tag 7,604,https://www.cagematch.net/?id=1&nr=361612
